n,t
100,0.000306
200,0.000929
300,0.002064
400,0.001034
500,0.001212
600,0.001700
700,0.002278
800,0.003180
900,0.004240
1000,0.005134
1100,0.005895
1200,0.007631
1300,0.007992
1400,0.010140
1500,0.011068
1600,0.012759
1700,0.014609
1800,0.016451
1900,0.020956
2000,0.021876
2100,0.023259
2200,0.025694
2300,0.028951
2400,0.030790
2500,0.033119
2600,0.037650
2700,0.039947
2800,0.042709
2900,0.046982
3000,0.052030
3100,0.056301
3200,0.065773
3300,0.068231
3400,0.075759
3500,0.076601
3600,0.083207
3700,0.090489
3800,0.097318
3900,0.100870
4000,0.106008
4100,0.112695
4200,0.119385
4300,0.110971
4400,0.115736
4500,0.121584
4600,0.128525
4700,0.129262
4800,0.136509
4900,0.142820
5000,0.154113
5100,0.154556
5200,0.160619
5300,0.167468
5400,0.177977
5500,0.179922
5600,0.188547
5700,0.193845
5800,0.207360
5900,0.207787
6000,0.215969
6100,0.222797
6200,0.237007
6300,0.237785
6400,0.247714
6500,0.254960
6600,0.269147
6700,0.270049
6800,0.280078
6900,0.286874
7000,0.305484
7100,0.304814
7200,0.315907
7300,0.322474
7400,0.341302
7500,0.341025
7600,0.355446
7700,0.360690
7800,0.381972
7900,0.377404
8000,0.396382
8100,0.401358
8200,0.424124
8300,0.418330
8400,0.435885
8500,0.440839
8600,0.465547
8700,0.461635
8800,0.483055
8900,0.485350
9000,0.511702
9100,0.506583
9200,0.530475
9300,0.530513
9400,0.558964
9500,0.555558
9600,0.579609
9700,0.579720
9800,0.612304
9900,0.603325
10000,0.630454
10100,0.631078
10200,0.659092
10300,0.655235
10400,0.685443
10500,0.684262
10600,0.717928
10700,0.709692
10800,0.741563
10900,0.737517
11000,0.771509
11100,0.765853
11200,0.800960
11300,0.794839
11400,0.831533
11500,0.823889
11600,0.860113
11700,0.852063
11800,0.889354
11900,0.883296
12000,0.925175
12100,0.914981
12200,0.955247
12300,0.947295
12400,0.987249
12500,0.977694
12600,1.015303
12700,1.010306
12800,1.059715
12900,1.044685
13000,1.090800
13100,1.078938
13200,1.125396
13300,1.111953
13400,1.156354
13500,1.146868
13600,1.519719
13700,1.510595
13800,1.461865
13900,1.374630
14000,1.392023
14100,1.253405
14200,1.407146
14300,1.293033
14400,1.355876
14500,1.474603
14600,1.500462
14700,1.556440
14800,1.641236
14900,1.596414
15000,1.481074
15100,1.443725
15200,1.512783
15300,1.486791
15400,1.542523
15500,1.526807
15600,1.593248
15700,1.569321
15800,1.625860
15900,1.612308
16000,1.679005
16100,1.656378
16200,1.709766
16300,1.703279
16400,1.766642
16500,1.748470
16600,1.800006
16700,1.791780
16800,1.862506
16900,1.839024
17000,1.893677
17100,1.883683
17200,1.949249
17300,1.930659
17400,1.982024
17500,1.974038
17600,2.047645
17700,2.020993
17800,2.076721
17900,2.072686
18000,2.137585
18100,2.120448
18200,2.169742
18300,2.168707
18400,2.243006
18500,2.228272
18600,2.275653
18700,2.581748
18800,2.538870
18900,2.575620
19000,2.634549
19100,2.431990
19200,2.495058
19300,2.667948
19400,2.490168
19500,2.642559
19600,2.688604
19700,2.551068
19800,2.599533
19900,2.608807
20000,2.682882
